Kódy,Obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554855,Trstěnice,301,165,165,11,0,0,5,0,11,26,1,1,0,0,0,20,0,0,1,60,0,0,2,0,1,0,0,25,1
539023,Třebeň,326,206,203,15,0,0,5,0,13,22,2,1,1,2,0,22,0,0,2,79,0,0,7,0,0,1,1,29,1
554880,Tři Sekery,748,393,384,47,2,0,17,0,4,25,0,2,4,0,0,91,0,0,6,129,0,2,14,0,2,1,0,38,0
539619,Tuřany,110,73,73,9,0,0,5,0,7,5,0,0,1,0,0,5,0,0,1,33,0,0,0,0,0,1,1,5,0
539481,Valy,384,241,240,21,2,0,9,0,11,9,1,2,2,0,0,32,0,0,10,100,0,0,8,0,3,0,0,29,1
539279,Velká Hleďsebe,1816,1039,1027,130,7,0,78,0,44,78,6,6,11,0,2,154,0,1,38,331,0,2,28,0,6,2,2,100,1
578002,Velký Luh,127,67,66,5,0,0,2,0,11,11,1,1,0,0,0,4,0,0,0,20,0,1,2,0,0,1,0,7,0
539376,Vlkovice,104,72,72,1,2,0,5,0,2,8,0,3,0,1,0,10,0,0,1,24,0,1,6,0,1,1,0,6,0
539074,Vojtanov,168,102,102,3,0,0,2,0,4,13,0,2,1,0,0,6,0,0,2,50,0,0,1,0,1,0,0,16,1
539431,Zádub-Závišín,274,165,164,27,0,0,5,0,9,10,0,0,2,0,0,20,0,0,7,49,0,0,13,0,1,0,1,20,0
